,À partir de,Année de construction,Largeur de la façade à rue,Nombre de façades,Salon,Salle à manger,Chambres,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Prix,Immeuble de rapport,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Adresse,Surface habitable,Terrasse,Site internet,Parkings extérieurs,Type d’environnement,Type de cuisine,Raccordement à l'égout,Surface du jardin,Type de zone inondable,Référence externe,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,État du bâtiment,Surface du grenier,Jardin,Orientation du jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Parkings intérieurs,Attestation as-built,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Orientation de la terrasse,Niveau E (performance énergétique globale),Salles de douche,Largeur du terrain à rue,Surface de la terrasse,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Surface constructible totale au sol,Surface de bureau,Parlophone,Piscine,Accès sécurisé / alarme,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Nom du bien,Quartier ou lieu-dit,Combien de feux ouverts ?,Surface de l'espace professionnel,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé
103,Après la signature de l’acte,1966,,4,,,3,,1,1,,,,Oui,Non,,2191 m²,,,,,Non,428 kWh/m²,E,20210915-000246415-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,285.000 €,Non,Oui,Non,"Pas 96/A
2440 - Geel",139 m²,Oui,4500682,4,Pays,Hyper équipée,Connecté,,Zone non inondable,,Zone agricole,Bon,,,,,Mazout,2,,841 €,,,,,,Oui,,,,22 m,,,,,,139 m²,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,1979,,4,,,3,,1,1,,,,,,,420 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,Non,228.000 €,,Non,Non,"Ravennestlaan
2820 - Bonheiden",143 m²,,,2,Pays,Semi-équipée,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,"Oui, conforme",Mazout,2,,671 €,30 m²,,16 m²,9 m²,12 m²,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,À la livraison,2018,,3,,,3,,1,,,,,,Non,Non,314 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Oui,,,Non,304.900 €,Non,Non,Non,"Stationstraat 125
2440 - Geel",143 m²,,,,,,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,À la livraison,2019,4 m,3,,,1,,Non,,,,,,Non,213 m²,7 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Non,Non,Oui,Non,,,Non,Non,"Stationstraat 125
2440 - Geel",Non,Zone non inondable,,3,,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,289.900 €,Bon,,,,Gaz,Non,,,,,,,,,,,,,Connecté,,128 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,2018,8 m,4,Oui,,3,,1,1,,Non,,,Non,Non,2305 m²,,,,,Oui,82 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Oui,,,Non,489.000 €,Non,Non,Non,"Stationsstraat 69
2440 - Geel",164 m²,,V&G/G/3613,2,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Sud,,,,,,,,,,,,,,,16.4 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,2022,,3,,,3,,1,,,,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,,252.185 €,Non,,,"Kerkhovensesteenweg, 447
3920 - Lommel",108 m²,,,,,,,,,2766 - 50902832,,,,,,,Électrique,,Non,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,28 avril 2022 - 00:00,,,,,
109,Après la signature de l’acte,2022,,3,,,3,,1,,,,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,,252.185 €,Oui,,,"Kerkhovensesteenweg, 447
3920 - Lommel",108 m²,,,,,,,,,2746 - 50902832,,,,,,,Électrique,,Non,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,28 avril 2022 - 00:00,,,,,
110,Après la signature de l’acte,1972,,3,,,3,,1,2,,,,Oui,Non,,623 m²,,,,,Non,688 kWh/m²,F,20210209-0002370880-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,239.000 €,Non,Non,Non,"Pas 96/A
2440 - Geel",125 m²,,4243067,2,Isolé,Hyper équipée,Connecté,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Mazout,1,,560 €,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,À la livraison,2018,10 m,3,,,3,,1,,,,,,Non,Non,213 m²,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Non,Non,Oui,,,Non,242.400 €,Non,Non,Non,"Stationstraat 125
2440 - Geel",128 m²,,,,,,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,,,,,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,1975,,4,,,2,,1,1,,,,Oui,Non,,595 m²,,,,,,590 kWh/m²,F,20190707-0002175856-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,249.000 €,Non,Non,Non,"Pas 96/A
2440 - Geel",214 m²,Oui,4151316,1,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,1997,,4,,,5,,1,2,,Oui,,Oui,Non,,2773 m²,,,,,,211 kWh/m²,C,20160404-0001849683-1,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,Non,650.000 €,Non,Oui,Non,"Pas 96/A
2440 - Geel",340 m²,Oui,4152403,4,,Hyper équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,2021,,3,,Oui,3,,1,2,,,,Oui,Non,,598 m²,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,,381.000 €,Non,Non,Non,"Lichtveld 88
3980 - Tessenderlo",151 m²,,4500034,1,Isolé,Hyper équipée,,,Zone non inondable,,,Excellent état,,,,,,1,,,22 m²,12 m²,26 m²,16 m²,12 m²,,,28,1,,,,,,,172 m²,,Oui,,,,,,Oui,,,,,,,,,,,,,,,
115,,2020,,4,,,3,,1,1,,,,,Non,,213 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,,299.900 €,Non,,,"Pas 96/A
2440 - Geel",128 m²,Oui,4224409,,,,,,,,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,À la livraison,2018,,4,,,3,,1,,,,,,Non,Non,392 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Oui,,,Non,329.900 €,Non,Non,Non,"Stationstraat 125
2440 - Geel",141 m²,,,,,,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,2021,,3,,Oui,3,,1,2,,,,Oui,Non,,615 m²,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,,389.000 €,Non,Non,Non,"Lichtveld 88
3980 - Tessenderlo",153 m²,,4500036,1,Isolé,Hyper équipée,Connecté,,Zone non inondable,,,Excellent état,,,,,,1,,,26 m²,13 m²,26 m²,23 m²,14 m²,,,28,1,,,,,,,174 m²,,,,,,,Oui,,,,,,,,,,,,,,,,
118,,2021,,3,,,3,,,,,,,,,,486 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,,369.000 €,Non,,,"Koolmijnlaan 147
3582 - Beringen",233 m²,Oui,4454854,,,,,,Zone non inondable,,,Excellent état,,,,,,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,4,,,2,Non,1,1,,Non,Non,,Non,Non,800 m²,Non,Non,Non,Non,Non,1057 kWh/m²,F,20210712-0002440834,Non communiqué,Non communiqué,Non,Non,Non,Non,Non,,Toutes sortes,,,200.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
120,1957,À rafraîchir,,Oui,Équipée,3,641 m²,,Oui,,,,,,,,839 kWh/m²,,,,,,20210614-0002428673-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,,,,,Zone non inondable,,Elien VAN GOMPEL,170.000 €,,,,F,,,,1,,,589 €,,,4,,,,,,,,"Veerledorp 30
2431 - Laakdal",,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zat. 18/9, 25/9, 2/10 en 9/10 tssn 10u-12u",Après la signature de l’acte,Non,
121,Après la signature de l’acte,,,4,,,4,,1,,,,,,Non,,810 m²,,,,,Oui,687 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,299.000 €,Non,Non,Non,"Markt 20
2440 - Geel",,,40861 - GEE-21-SDP-0,,,Semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,Mazout,1,Non,,,,,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,,,4,,,2,,1,,,,,,,,464 m²,,,,,Non,596 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Non,285.000 €,Non,Non,Non,"Kerkplein 1
2260 - Westerlo",190 m²,Oui,4529029,3,Urbain,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1954,,4,,,2,,1,,,,,,Non,Non,721 m²,,,,,Oui,529 kWh/m²,F,2456679-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Non,Non,Oui,,,Non,240.000 €,Non,Non,Non,"Geneinde 11
2260 - WESTERLO",180 m²,,VK2021053,,,,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,"Oui, conforme",Gaz,,,550 €,,,,,,Oui,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,1977,,4,,,1,,Oui,,,,,638 m²,,,486 kWh/m²,,,,,,E,20140820-0001638465-0000006-5,Non communiqué,Non communiqué,Mazout,Oui,,,,,Zone non inondable,,,,676 €,"Koning Leopoldlaan 59
2260 - WESTERLO",,,Tinne VOET,,,,,,3,,,265.000 €,,,,,,,,Non,,,Non,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Après la signature de l’acte,,,3,,,2,,1,1,,,,,,,356 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,,195.000 €,Non,,,"Kerkplein 1
2260 - Westerlo",115 m²,Oui,4532577,1,,Équipée,,,,,,Bon,,,,,Mazout,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,1939,,4,,,3,,1,1,,,,,Non,,1050 m²,,,,,,433 kWh/m²,E,20210615-0002429345-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,279.000 €,Non,Non,Non,"De Heuvels 15
2430 - Laakdal",168 m²,,1073 - 1652,,,Semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Sud,,Bois,2,Non,348 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,1940,,4,,,3,,1,1,,,,,Non,,1050 m²,,,,,Oui,433 kWh/m²,E,20210615-0002429345-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,279.000 €,Non,Non,Non,"Sint Cordulastraat 19/1
2900 - Schoten",168 m²,,,,,Équipée,,,Zone non inondable,1605 - 1845,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,Bois,2,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 décembre 2021 - 00:00,,,,,
128,Après la signature de l’acte,2010,9.72 m,3,Oui,,,,,,,,,,Non,,341 m²,,,,,Oui,132 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,,685.000 €,Oui,,,"Lichtveld 88
3980 - Tessenderlo",250 m²,Oui,4521639,3,Isolé,Hyper équipée,Connecté,,Zone non inondable,,,Excellent état,,,,,Gaz,,,1.978 €,,,,,,,,,,11.25 m,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,1983,25 m,4,,,1,,2,Oui,,,,,7451 m²,,65 m,,,,,,D,0002432628,Non communiqué,Non communiqué,Mazout,,,,,,Non,,,Oui,1.504 €,"Meulemanslaan 8
2260 - Westerloo",Non,Zone non inondable,4489128,60 m²,364 kWh/m²,,2,Isolé,2,,,Zone agricole,,650.000 €,À rénover,,,,,Oui,2,,Non,Semi-équipée,,,,,Non,,,,Oui,,310 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,1973,10.33 m,4,,,4,,1,1,,,,Oui,Non,,636 m²,,,,,Oui,267 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,378.000 €,Non,Non,,"Lichtveld 88
3980 - Tessenderlo",138 m²,,4447055,2,Isolé,Hyper équipée,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,,Gaz,1,,897 €,38 m²,16 m²,14 m²,10 m²,12 m²,Oui,,,1,13.75 m,20 m²,,9 m²,,,185 m²,,,,Oui,,,Oui,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,1956,,4,Hyper équipée,,25 m²,,2868 m²,,,,,,,,Non,,,,,Oui,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,Non,,,,Non,601 €,"Diesterstraat 101 bus 1
3980 - Tessenderlo",Zone d'inondation reconnue,,4397780,Oui,521 kWh/m²,,2,,13 m²,,,Zone naturelle,,129.000 €,Bon,,,,,Oui,2,,Non,,3,9 m²,12 m²,1,,,,,,,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,À définir,1973,,4,Oui,,3,,1,2,,,,,,,703 m²,,,,,Non,741 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,299.000 €,Non,Non,,"Fehrenbachstraat, 53
2440 - Geel",153 m²,,4492405,,Pays,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Mazout,1,,736 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Immédiatement,1956,,4,,,3,Non,1,1,,Non,,,Non,,1241 m²,,,,,,Non communiqué,Non communiqué,20200623-0002285559-KNR-1,Non communiqué,Non communiqué,Non,,,,Non,Oui,,Non,Non,269.000 €,Non,,,"Markt 37
2450 - Meerhout",,,spir6011,,,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rénover,,,,Non,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,À la livraison,2021,7.3 m,3,,,3,,1,2,,,,,Non,,391 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,379.000 €,Non,Non,Non,"Noordstraat 2A
2220 - Heist op den Berg",167 m²,Oui,4297324,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,,Gaz,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,À la livraison,,7.3 m,3,,,3,,1,2,,,,,Non,,391 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,379.000 €,Non,Non,Non,"Noordstraat 2A
2220 - Heist op den Berg",167 m²,Oui,4295582,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,,Gaz,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,,Oui,Non,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,1920,6 m,2,Oui,Oui,2,Non,1,2,Oui,Non,Non,Oui,Non,Non,185 m²,Oui,Non,Non,Oui,Oui,122 kWh/m²,B,20181203-0002112837-1,Non communiqué,Non communiqué,Non,Non,Oui,Non,Oui,Oui,,,,360.000 €,Non,,Non,,151 m²,,,,Urbain,,Connecté,,Zone non inondable,,,Excellent état,,,,,Gaz,,,239 €,,,,,,Oui,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Oui,,,,,,Oui
138,Immédiatement,1982,15 m,4,,Oui,5,Non,1,2,Oui,Non,Non,Oui,Non,Non,1290 m²,Oui,Non,Non,Oui,Oui,313 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Oui,Oui,,,,387.000 €,Non,,,,270 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Équipée,Non connecté,1100 m²,Zone non inondable,,,À rafraîchir,,,Est,"Oui, conforme",Mazout,,,1.197 €,41 m²,16 m²,14 m²,12 m²,19 m²,Oui,Est,,,,23 m²,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Oui
139,,À rénover,,1,3,,1,,2,135 m²,,,,,,,386 kWh/m²,,,,,,D,20141119-0001704285-00000004-4,Non communiqué,Non communiqué,Oui,,,,,,Non,,,Non,,"Antwerpseweg 8 Bus B
2440 - Geel",Zone non inondable,,Co VAN KERCKHOVEN,Oui,,,,,,,,180.000 €,,,3,,,,,,212 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,Non,"nl :
zaterdag 11/9, 18/9, 25/9 , 2/10 en 9/10 van 10u-11u",15 novembre 2021 - 00:00,827 €,
140,1964,À rafraîchir,,1,4,,1710 m²,,561 kWh/m²,,,,,,,,F,,,,,,20210717-0002442925-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,,,,,Zone non inondable,,Jorge VAN HOOF,228.000 €,,,,,,,,1,,,1.901 €,,,4,,,,,,Oui,,"Hofstraat, 26
2400 - MOL",,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
na tel. afspraak met notariskantoor",Après la signature de l’acte,Non,
141,Immédiatement,,,4,,,4,Non,2,2,,Non,Non,,Non,Non,708 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Non,,Toutes sortes,,,395.000 €,Non,,,,245 m²,,,,,,,,,,,Excellent état,,,,,Gaz,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,4,,1,4,,738 m²,,Oui,,,,,,,,Oui,,,,,,20120507-0001113577-00000005-1,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,,Zone non inondable,,,280.000 €,,Tinne VOET,,,,,282 kWh/m²,,Oui,,1,,,800 €,,,,,,,,Oui,2,,"Koning Leopoldlaan 59
2260 - WESTERLO",,,,,,,,,,,,Équipée,,,,,,,,C,,,,,,,,,,,,,,1996,Non,"nl :
Elke zat. van 10u-12u, vanaf zat. 11/9 tem zat. 23/10",1 décembre 2021 - 00:00,Non,
143,,2021,,4,,,3,,,,,,,,,,371 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Oui,Oui,,,Oui,360.210 €,,Non,Non,"Henri Knutsplein 8
3540 - Herk-de-Stad",158 m²,,Jill Geerts,,"Zone d'habitat (résidentiel, urbain ou rural)",,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,"Oui, conforme",,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,À la livraison,2022,7 m,3,,,3,,1,2,,,,Oui,,,440 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Oui,,,,,393.000 €,Non,,,"Ring 46
2200 - Herentals",165 m²,Oui,4388947,,Urbain,Hyper équipée,,,,,,,,,,,,,,,49 m²,,16 m²,14 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,2021,,4,,,3,,,,,,,,,,394 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Oui,Oui,,,Oui,381.820 €,,Non,Non,"Henri Knutsplein 8
3540 - Herk-de-Stad",180 m²,,Jill Geerts,,"Zone d'habitat (résidentiel, urbain ou rural)",,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Est,,Gaz,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,1969,,4,,,4,,1,2,,,,,Non,,714 m²,,,,,Oui,368 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,299.000 €,Non,Non,Non,"Markt 20
2440 - Geel",165 m²,Oui,40852 - GEE-21-SDP-0,,Rue commerçante,Américaine semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,Non,,32 m²,15 m²,16 m²,12 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Après la signature de l’acte,1950,,3,,,2,,1,1,,,,,Non,,453 m²,,,,,Oui,405 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,,209.000 €,Non,,Non,"Markt 20
2440 - Geel",79 m²,,38267 - GEE-21-DHO-0,,,Américaine équipée,,,Zone non inondable,,,À rénover,,Oui,Nord,,Gaz,,"Oui, conforme",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,1957,,4,,,4,,1,4,,,,,Non,,1463 m²,,,,,Oui,1010 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Non,289.000 €,Oui,Non,Non,"Markt 20
2440 - Geel",240 m²,Oui,10979 - GEE-21-SDP-0,,Rue commerçante,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,Mazout,1,Non,,32 m²,12 m²,15 m²,15 m²,15 m²,Oui,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,1930,,,,,3,,1,1,,,,,Non,,656 m²,,,,,Oui,724 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,Non,229.000 €,Non,Non,Non,"Markt 20
2440 - Geel",151 m²,,40864 - GEE-21-SDP-1,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rénover,,,,,,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Selon le locataire,1963,,4,,,3,,1,,,,,,Non,,914 m²,,,,,Oui,373 kWh/m²,D,20210224-0002377846-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,295.000 €,Non,Non,Non,"Markt 20
2440 - Geel",,,40859 - GEE-21-DHO-0,,,Semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,Gaz,,Non,,,,,,,Oui,,,,20.37 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Après la signature de l’acte,1965,,4,,,3,,1,,,,,,Non,,633 m²,,,,,Oui,510 kWh/m²,F,20210707 0002438864-Res-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,249.000 €,Non,Non,Non,"Markt 20
2440 - Geel",205 m²,,39926 - GEE-21-SDP-1,4,,Semi-équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rénover,,,,,Mazout,1,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,2021,7 m,3,,,3,,1,2,,,,,Non,,400 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,332.500 €,Non,Non,Non,"Veltwijcklaan 5
2180 - Ekeren",178 m²,,19928 - SIE/21/017/5,2,,Équipée,,260 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,1,Non,,47 m²,,,,,,,30,,10 m,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
